"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"BUILT_BY";"CONFIGURATION__POLE-THROW_";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_SWITCHING_CURRENT";"MAX_SWITCHING_VOLTAGE_AC_";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"POPULARITY";"PRICE";"PRODUCT_TYPE";"PROD_ID";"PURCHASE-URL";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";"SWITCH_TYPE";"TE_PART_NUMBER";"TP_SIGNAL_NAME";"VALUE";"VENDOR";
"4";"10k";"R-EU_R0603";"R0603";"R3, R5, R10, R21";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";
"1";"10uF";"10UF-1210-50V-20%";"1210";"C16";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09824";"";"";"";"";"";"";"";"10uF";"";
"4";"10uF";"C-EUC0603K";"C0603K";"C12, C13, C17, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"";"C";"";"";"";"";"";
"1";"158k";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";
"1";"18k";"R-EU_R0603";"R0603";"R15";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";
"5";"1k";"R-EU_R0603";"R0603";"R9, R17, R18, R19, R31";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";
"2";"1uF";"C-EUC0603K";"C0603K";"C11, C21";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"";"C";"";"";"";"";"";
"1";"2.2uF";"C-EUC0603K";"C0603K";"C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"";"C";"";"";"";"";"";
"1";"200k";"R-EU_R0603";"R0603";"R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";
"3";"20k";"R-EU_R0603";"R0603";"R1, R13, R16";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";
"2";"22";"R-EU_R0603";"R0603";"R26, R27";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";
"2";"22pF";"C-EUC0603K";"C0603K";"C38, C39";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"";"C";"";"";"";"";"";
"2";"22uF";"22UF-0603-6.3V-20%";"0603";"C1, C3";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-14464";"";"";"";"";"";"";"";"22uF";"";
"1";"249k";"R-EU_R0603";"R0603";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";
"2";"27k";"R-EU_R0603";"R0603";"R22, R25";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";
"1";"280k";"R-EU_R0603";"R0603";"R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";
"2";"4k7";"R-EU_R0603";"R0603";"R28, R29";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";
"2";"68k";"R-EU_R0603";"R0603";"R23, R24";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";
"3";"694106301002";"694106301002";"694106301002_1";"J1, J2, J3";"WURTH ELEKTRONIK - 694106301002 - CONNECTOR, POWER ENTRY, JACK, 3A, 20VDC";"";"";"";"";"";"";"WURTH ELEKTRONIK - 694106301002 - CONNECTOR, POWER ENTRY, JACK, 3A, 20VDC";"mm";"Wurth Elektronik";"694106301002";"";"";"";"710-694106301002";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/694106301002?qs=a9WhcLg8qCwOEkcI62k5mA%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
